MJD_OBS MAG MAG_ERR BAND
56520.203493605004 22.7860989531882 0.09734908946241932 b'g'
56534.15430651 22.841315520692525 0.05722608230947657 b'g'
56538.16077142 22.679024983576525 0.0612386668056395 b'g'
56547.08055237 22.73469488195184 0.1606272502535333 b'g'
56558.05170611 22.838933860586668 0.09087572494957996 b'g'
56563.03684392 22.65108982796181 0.08288737498982357 b'g'
56575.02788286 22.642703444191845 0.08080045355697862 b'g'
56592.07190043 22.678641552289985 0.10314148035178405 b'g'
56594.02594675 22.77503931673895 0.06281182119808548 b'g'
56602.02672743 22.732595064410805 0.07298052630660123 b'g'
56609.03981333 22.65978892182922 0.17363660476721776 b'g'
56628.0473868 22.805513962647836 0.07040220068866176 b'g'
56633.15449987 22.773283127225724 0.09257225790385704 b'g'
56635.09704896 22.608230591790107 0.14052231025575068 b'g'
56667.05917723 22.61574472788289 0.17873696167591646 b'g'
56690.05057089 22.6029108670851 0.0926139824278458 b'g'
56885.20944459 22.62354451508901 0.14955494356104992 b'g'
56920.06125334 22.65190635779662 0.06806252599592 b'g'
56930.1139305 22.500058677571225 0.10208166422355092 b'g'
56957.00544218 22.382824479010953 0.09706017214351448 b'g'
56980.02388511 22.66590970679827 0.06301981211240815 b'g'
56987.02812471 22.517527368649652 0.06627192143940874 b'g'
56992.03268902 22.320913837361662 0.1266872734583906 b'g'
57011.04245938 22.69069138497931 0.06868378465102865 b'g'
57016.10451927 22.635279653310164 0.06251550555133889 b'g'
57030.04381385 22.70115063767662 0.12840778762636162 b'g'
57037.06028836 22.660674317223645 0.0646535144781275 b'g'
57273.09339648 22.63058033127892 0.10147574971329831 b'g'
57297.02967291 22.453195990913954 0.09596510868235697 b'g'
57301.03271813 22.606703441295952 0.1713825267137814 b'g'
57315.14967559 22.499869839898405 0.1058874382657109 b'g'
57325.02305454 22.494011969760855 0.060274920767426465 b'g'
57329.01499187 22.443926433009054 0.07398125732871108 b'g'
57339.01859335 22.395862428193798 0.1044556615553951 b'g'
57344.03399547 22.582891205613354 0.3521151729773955 b'g'
57365.03621469 22.415059245304857 0.08477711772103193 b'g'
57371.04870737 22.541484195998745 0.06620099818015746 b'g'
57386.04190673 22.68318835366776 0.09286795534584513 b'g'
57407.04154111 22.530830019512315 0.1394318170690525 b'g'
57653.05430845 22.764752971931816 0.07633164330964703 b'g'
57666.02168094 22.923713516630517 0.12736287892292353 b'g'
57690.10977178 22.95310974881279 0.11636205763019447 b'g'
57694.01142875 22.820728649506876 0.11586244677074475 b'g'
57701.02602829 22.696098581434676 0.20069212809366377 b'g'
57708.04966011 22.696090608501514 0.1832294237305021 b'g'
57718.02830773 23.0219082343434 0.1588415292745644 b'g'
57719.02905755 22.93070170886374 0.14654851835211602 b'g'
57780.03702073 22.691624594454872 0.1826597202262974 b'g'
57998.11100302 21.698815718538693 0.13116742753774346 b'g'
58021.04702478 22.02635925222912 0.1114951279396621 b'g'
58025.03810264 21.948277291282885 0.14641384560903958 b'g'
58036.00552352 22.092680794624073 0.06007442396629515 b'g'
58039.99921291 22.000508698783314 0.06904745244456834 b'g'
58052.00521601 21.969769965572674 0.08155840105740708 b'g'
58072.20310951 22.020780435743344 0.05286578088221816 b'g'
58081.04408819 21.87420537656717 0.04814117316427868 b'g'
58117.04341262 21.715538466096547 0.14155787377403684 b'g'
58125.04535833 22.0000693618709 0.055519282811395954 b'g'
58372.25688484 22.931195053255703 0.06990178354211807 b'g'
58401.0416046 22.891590509614794 0.09852338840901709 b'g'
58431.10267996 22.784789268097125 0.0787046125994948 b'g'
58450.17129877 22.696658428296463 0.08388910264127386 b'g'
56520.20652821 22.745804441597354 0.06145219573312833 b'r'
56534.15666855 22.744956119377914 0.07716648963738493 b'r'
56538.16313827 22.868497950280986 0.09421310522378334 b'r'
56543.09408201 22.795545248638074 0.10439136145349792 b'r'
